video,category,label,text_clean
alvinmarinas_7024295781209361690.mp4,Harmful Content,DANGEROUS,모든 것을 j TikTok alvinmarinas alvinmarinas alvinmarinas alvinmarinas
gopro_7245353514334178606.mp4,Harmful Content,DANGEROUS,"Woooow! Woooow! Woooow! Woooow! Woooow! Woooow! Let's go! That was cool! Yeah! Woooow! Yeah, the day!"
togethxr_7009010057060896006.mp4,Harmful Content,DANGEROUS,vooooow Bupry (69m Ca
nikki.hooper_7102137033312832773.mp4,Harmful Content,DANGEROUS,.% .% .% .% .% .% .%
spladlecity_7246558417991666990.mp4,Harmful Content,DANGEROUS,Take it! Suplex Suplex City City
1life.anthonyblane_7348456410545540360.mp4,Harmful Content,DANGEROUS,I'm talking about the dark shopNow bagging up in the big dumpyI'm talking about the dark shopNow I'm talking about the dark shopYou're the one who's braveYou're the one who's braveYou're the one who's brave
thuantrendy_7085704540627930394.mp4,Harmful Content,DANGEROUS,"Hãy đưa em về đi anh ngon em say rồi Hãy đưa em chặt đi anh ngon em say rồi Vì giây mời nói nhớ anh nhớ đến anh say Cô lấy là vì giây mời mốt đây là anh con Cô lấy là vì giây mời đón con nhớ anh Mình tờ bầu say say quên mất vào em nhớ anh Hãy đưa em về đón gi небольш yên Hãy đưa em về đón giút, đừng vì temps savory Hãy đưa em về đónあれ đ contrario Hãy đưa em về đón giút dur uit Dan se em anh có thể bềm đầy hôm Có thểあれ Develop một l wszystkim T Bry chín có l figured U Tre"
jarrodluty2897_6830462193134357766.mp4,Harmful Content,DANGEROUS,"yep,!!!!!! yep, yep"
n_war967_7191881234157456683.mp4,Harmful Content,DANGEROUS,That's the capital of Thailand. Bangkok! Bangkok what%s the capital f Thailand? what's the capital of Thailand?
olivernordin1_7240045321265417498.mp4,Harmful Content,DANGEROUS,"I wonder how much wildlife is so bright Kali, third-sick girl, add better, better, better Add better, better, better, and better, like no Catch me, add better, better, better, better, better Add better, better, better, better, eat my work We love it, we got fun, jump, we got fun, jump We got fun, jump, get class in the food We got fun, jump, we got fun, jump, beat you Parkour until you fall in water Reply to visjesboy's comment"
colin.louk.zero_7371202066649320734.mp4,Harmful Content,DANGEROUS,".% .% .% .% .% .% .% .% .% .% .% .% .% .% simple overhead crack head slightly swinging the palm long as the angle is not SO deliver hammerfist down, to whip keeping palm down; to raise hand above head, allow slightly past your arm/ whip, side at whatever angle past under the going up palm down so long as the angle is your arml keeping to come up deliver hammerfist,"
rajatayyab_1_7218944214984330501.mp4,Harmful Content,DANGEROUS,Street Fight Self Defense Trick E Street Fight Self Defense Trick Street Fight Self Defense Trick &
salgadopk_7080848430892993798.mp4,Harmful Content,DANGEROUS,You are now free to float.
baki.hq_7044244905987706114.mp4,Harmful Content,DANGEROUS,badass anime moments .999999/
alex.artfire_6797429873221668101.mp4,Harmful Content,DANGEROUS,"I love everything Fire spreading all around my room. My words are bright. It's hard to breathe, but that's alright."
alwuhu_6897775621133356293.mp4,Harmful Content,DANGEROUS,"It's time to do the one-chap challenge. This is darker than my soul. Oh, you got me in my last one. You're teasing me. You're not teasing me. You're not teasing me. Oh shit. Oh shit. Oh shit. My heart rate is going up. It's not that. It's not spicy at all. Oh my god. It's definitely not spicy. I'm totally not dying. I can speak perfectly. Mommy help. Easy challenge was not spicy at all. CAROLINA PAQVi ONE QNE EXTREMELY _ CHIP INSIDE:"
genfest.mmusic_7297982384211889409.mp4,Harmful Content,DANGEROUS,hey hi EsT GEN 'EsT GeN_EsT mmusic
gracegoodcirque_6998987493047684357.mp4,Harmful Content,DANGEROUS,"Ready, you're gonna wanna jump in, right? Hada! Get the jump! They're ready, ready? Right, right! Get ready! Get the bars! Get the jump! Ready! You see it? Two, one! Oh my god! Ready, jump! Come on, girls! Ready, jump! Yeah! That is amazing! Go, guys, girls! Thank you for taking so long, guys! Yeah! that Larois Birthday AROI8 LAROIà more LAROIS from all get ready Performing long get hot LAD came LAPOI8 Plenty yall Its gonna night LAROV where Get your cameras out and LAROI8 for The Kid LAROI LARC"
vince_.scoot_7220440989930900741.mp4,Harmful Content,DANGEROUS,Yaaaaaaah! N 얘 its party! No heats in here!
willoriewisp_7223538511587101995.mp4,Harmful Content,DANGEROUS,"I'm like I'm always Shut up your bone Before I start to push on the Learn more about if you're taking verbranzoology So things that we would recognize as a large consider to be Before we do that We talk about the diversity of proteins within the lab We use the defined things that make proteins the same The blood bile panels And they're replied the same to features That we refer to when we talk about proteins The first is the presence of the motor port The motor port is actually a hydrostatic appendoscyletine But the muscles act against the in order to propel the animal forward in the lab So this is actually a spline back on the cells The blood structure, the hole together to work is one structure The muscles act against So the motor port is an endoscyletine So here we have two examples In the subtle coordinates The group that I'm going to talk about next There is the motor port acting as an end For the muscle in pain Here is a lower end of the muscle The brain is above the gut And travels at an upfinch Vertical And the coordinates in general Breathe at the same time Think about it, that's pretty dumb But that's the way we follow this line That's the way these evolve in the fish But these have all five of the cordy features press tones Those are actually myotones Or myotones Oh yeah Yeah, yeah together to force it to stop) (an example of a tic until in my neck instead) (tic energy comes out leahhhh (embarrassed) you look like a b- questions before i-"" turning into an ocd ""any oh Carolira you' nooo (my tics won't stop because it hurts and (the whole class is giggling) complulsion) feel ""satisfied"") (i'm trying to stop it) re bald you're bald they feel like it's ugly) tourette's in class (holding my hands (this one annoys me"
wave.tv_7149254227251023146.mp4,Harmful Content,DANGEROUS,绰无奈那面是需要确定是另一命
embemeo07_7227301442606943494.mp4,Harmful Content,DANGEROUS,ng cudilà ' =)) hoi eleinitnoe eloinitnoe eloinitnoz eloinitrioe eleinitroe
jabreezzy_7194560168623885611.mp4,Harmful Content,DANGEROUS,?! WHATast 중 Yi The nigl Not my boi rey Mysterio
uebdizb_6918279468436016389.mp4,Harmful Content,DANGEROUS,Love isn't more than my blood it runs deep Whatever you want in life you know it's so me I'll be standing by you till the end Yeah we booted over trust I'll never get enough You got me only love with you So many things I do and girl you never want to judge Maybe you're the reason that I have a fairly loud
wow_family_circus_7285767715485240618.mp4,Harmful Content,DANGEROUS,"The night like the fire they've been light Cause baby you're a fire You're white, come on to the world And all your world make them go Ah, ah, ah, ah As you should have crossed the sky Ah, ah, ah Baby you're a fire You're white, come on let your colors burst Make them go, ah, ah, ah You're gonna leave them all at night You don't have to feel like the waste that's face You're original Can I be replaced if you only knew What the future holds after a hurricane Comes a rainbow Maybe a reason why all the doors are closed So you could open one the lazy to the per"
mma.is.cold_7333335492437560608.mp4,Harmful Content,DANGEROUS,"Just effortless with that And look at Harris good for Harris can't pull the right arm out at all Now George has his head free Borders got caught Trying to finish fights and that's it that's it. It's over Wow Somalis sometimes It doesn't look like much but it's right on the chin and he pulls that punch wow what a class act right there Zintan in 2011 this is first fight here in 2012 Look at that power That's good sportsmanship that he did it follow What Pugetchi Can't even fight first round knockout again look at that right off the center lands that big right hand Curves Donald falls up on a couple of cuts another right hand drops him. He looks at the right like stop it Stop it the rest still won't stop it so it goes to him. I mean I have no problems Hit behind the ear and then look like another one on the temple It's been solid for a couple of years now Big shot he made things right here Over Joe Rose on finishes talking or is it like there it is oh wow it wasn't even done Loose on called it himself and just climbed off him. He's like I'm not hitting that dude anymore. I'm glad it finished that way MMAI ma is. cold COLD S mma is cpld a( ASSUNCAO Jite amma 037 Roco 279 AMY mmais cold OST UFC . 3r0 reb mma Is.cold TUNETALI , UFc : MMA : mma is cold M FOLLOW FOR MORE sabed mma is.cold . LOPEZ ; Ch ite amma IS.cold 228 UFC . OF N imma is cold Wit AIR AND SELF-CONTROL , Ihgin MMIA respect UFc : Assa Ino * Say UFc : G oid . herbeRt Venur : 2851 EA 3R0 amma is cold UFc . UFc . , Trinaldo te 2861 UFc : LoPEZ dcerrone AsSASSINS = g HEES UT! UFc YES HE ISI A UNT HES UT! UFc : 816 € Ce mn : * Witt ouinlan JNKS Bantamweight ocerrone FIGHTERS SHOWING UFc : WoJ UFc : 40117738 UFC . ."
_endyyy_sct_7213860360011402502.mp4,Harmful Content,DANGEROUS,"lagi以áır már broken a akó nis nf"" prej ty pico aje po ni"" nfs prej oty prej ,ty aje po pico prej sty pico a je po"
anakhantubeachbar__7148793081624595738.mp4,Harmful Content,DANGEROUS,Togami kere te nekawa ne Bikere mama iuwa Opeca mor mofimba mage Bata kondorakia mo kawa ne Bata kondorakia mo kawa ne Bikere mama kondorakia mo kawa ne Bikere mama kawa ne Opeca mor mofimba mage Bikere mama iuwa Opeca mor mofimba mage
thefuelgirls_7362192752282504481.mp4,Harmful Content,DANGEROUS,crack FU EÉ GTATTOOTEAPARTY TATTOOTEAPARTY G I R L GTATTOOTEAPAR Fu E CTATTOOTEAPARTY FUEL
voidzed_7209774160426388743.mp4,Harmful Content,DANGEROUS,"She is there. But... I was in a decision that I should have known today. She could have known you. Trips. She is there. It's a trip. Sorry. I wasn't expecting works. SCREW 'Truth OR DARE BEAUTIFUL?"" YoU WHAT To Do"" ""SORRY. WHAT. HARD To MAKE A Voidzed ""WHAT._ Voidz DECISION Without TYSON TELLING ""TRuth OR DARE. ""WHAT."
edcscott_6797876087880682757.mp4,Harmful Content,DANGEROUS,"Five, four, three, two. . Go! Level up. Level up. Level up. Level up. Level up. Level up. Level up. Level up."
onechampionship_7288862627260828958.mp4,Harmful Content,DANGEROUS,"the way of the male half or more of this audience in the Singapore indoor stadium really feeling for Jen's call to now who's ringing around like convention before Jen's gets up to five minutes and then looking at the roof right but I don't think it was intentional but I do think that it just shows a disregard for where you're aiming your shots. You have to be very kind of something that's not still looks like a lot of discomfort Jen's that's pretty mildly just on this app. He looks in a bad way. You know, that's not you know, we hate to have a fight in this way but it would be a very disappointing way for the contest to win a background not afraid to strike. There's a lot of punches really. Very just have you that the wide of the gap in terms of age. The middle of the time was there and he does. Oh, left hand connected and another right hand. I think about picking the shots. That match up where it's a south wall versus an north wall. Oh, I'm going to go to the lead patient. There it is. I just need legs. I'll go. Massive amount of experience. It took Faser. The Jover comes to experience Luke Legg. The man with more chance. He has from a comfortable look. His second round begins with the second round. The second round begins here as well. Right now 135 pounds, pounds. Struggling oh, cardio perspective. If you wish you get into your leg, press. I'm trying to get a bit over. Let's go. That side of the leg kick and now. Oh, good. That's the moment of going. The mouthpiece right out. That was the end of the night. Oh, nice. You see that right knee, miss. You're talking about pressing. Pressing the stool. It's really up and on. We'll put that a little bit in. It's just toward it. It goes. It goes. It's out of the kick. That was good. Oh, sure. Yeah, they about the same. Those have a face themselves. Good. Thanks. Jason that Jalya Fe hasn't been cautioned by the referee. Jens LeLivo! Pover! Sssau com Industrial skins com 802 Industria { 342 HAVOKKCLOTHING. OM 801 dus euuog (CLOTHING COM LLC RGRINKCOM RTECOM NE 322 SKINS, HAVOKKCLOTHING COM ONE euuo"
rajeshstyle_6801165803925425409.mp4,Harmful Content,DANGEROUS,य। प। दुटी है ज़ प। प्प्प्पारूप दूटी है जलूप्पे है दन्मेमन में अरना बन्ने है जलूप्पे है rajeshstyle
jamminworld_6769547324063599877.mp4,Harmful Content,DANGEROUS,"I'ma move in and take this shit Said, how bout a bed? Rock it again, how bout a bed? Rock it again, how bout a bed? Rock it again E 7Z &"
matrick_14_6905617789504032005.mp4,Harmful Content,DANGEROUS,Wait a minute! OOOH! OOOH! Sold to my child! I swat! Whoa! Whoa! That! Pogra! Pogra! H Wram
maugamu_7148620716437622062.mp4,Harmful Content,DANGEROUS,One never control! I'd carry within me the pride of our dreams!
helloimtin_7032927931399769371.mp4,Harmful Content,DANGEROUS,Eagle eye The uniform is COUNTE Ronrb Coun Counr COUN infor Ror inFORMATIOI CQUN IMFORMATION INFORMATION Roa Ponc INFOR Ran Rar coun Ar informatio_ Raacl GRABE ANG GALING NI KUYA Roncl information Ron INFORM Ponch INFORE Ranrh Ronch GRABE ANG GALING NIKUYA Ro
spannerowanner_7348849076676414753.mp4,Harmful Content,DANGEROUS,"Look mum, I can do no hands! Oh yeah yeah yeah, I should never be back back my bum hole. Woo! Oh la la la! Oh yeah yeah. Oh my day's manny, I'll add a straight in manual. I look like that guy, I feel like that guy. Did it Nicky? Nicky don't do it mate. I can do no hands! Oh yeah yeah yeah, I should never be back back my bum hole. Woo! Look mum, I can do no hands! See, I knew I should never be back, Kurt. days later un NO HANDS Cat N HANDS CAN DO days later_ CAN D"
golden_rider__7286869356607261985.mp4,Harmful Content,DANGEROUS,Knowledge
lofstedtdude_6794711452365131010.mp4,Harmful Content,DANGEROUS,Byeedy So i can double jump on and my picking - how jumping in air It wasn't easy; but._ in the now let's try double kept trying; and then. comments 1ag water It wasn't easy; but. tollov wasn't gonna give up you my IG shoutout It wasn't easy; but.- kept trying; and then..
sheep_stewart_7243187955404164379.mp4,Harmful Content,DANGEROUS,"He had a head he does. Stuck in the means of these fields. You could have loved him. For the first thing is who, who knew, who, who does. The innocent white who fought on the safe day said I'm gonna touch it. G G G G 2A"
belva.faristha_7134242533592550682.mp4,Harmful Content,DANGEROUS,"Ini kalau nggak ditahan sama sekali. Malu dilihatin orang, ganyaman ke tempat umur. Menggang hubungan, di penyerberhenti. Kadang satu. Cepat juga. Inf kalo ga ditahan sama Ini kalo ga ditahan sama sekali nyaman ke tempat ummum Malu diliatin ang ga ""Cek caption di bawahya Cekcaption di bawahya Mengganggu banget ""Cek caption di bawah ya sekal sekalis kadang sakit Malu iliatin ang ga Cekcaption di bawahya; Pengen berhenti Mengganggu bangets capekjuga"
onechampionship_6946776337025715462.mp4,Harmful Content,DANGEROUS,"OHHH HIT, HIT HIT, HIT HIT HITM πουisa HIT, HIT HIT, HIT HIT HIT HIT HITava What? is this a master? Nuhh? Hummm…. ATTREAT when you get KO'd re Sna but still think but still think you're fighting you' TO THE REF fighting WATCH WHAT HAPPENS"
dylanpawson_7174403759286635778.mp4,Harmful Content,DANGEROUS,varter ON 2020
jajabyfdyxy_7200263807174790446.mp4,Harmful Content,DANGEROUS,再嗯要但是 Ready Or Gucli Glcli
overtimeboxing_7370167610115116331.mp4,Harmful Content,DANGEROUS,I need to make Ladyantly mad. Bene-emaking This crazy
012.08.031_7055498172436696366.mp4,Suicide,DANGEROUS,"Did it mean? No, the reason people always leave. No, the reason... All these things keep happening to me. And I'm just destined to be alone. Happening The to Destined be Ille ? AII"
reydemie_7232705327882390811.mp4,Suicide,DANGEROUS,"barriers, feelings for him me still have knowing looking at him i still have"
user4638751123694_6988506099829853442.mp4,Suicide,DANGEROUS,"fuck; unless your pretty; No one actually gives a fuck, unless your pretty; skinny or dead"
painhub.1270_7216004042319858990.mp4,Suicide,DANGEROUS,TikTok vanIshed The worst typpe f The worst type f ~vanIshed fs
jherald.artz_7220004107141074182.mp4,Suicide,DANGEROUS,"ANXIETY can't what's with that POV: SOCIAL should go E.ex.excuse me ""this is my stop did speak did i say with me ""IT'S RUINING MY LIFE"" say look something wrong why wrong what's"
_.ziakyra.__7177802081238027566.mp4,Suicide,DANGEROUS,"know how she tastes not ""kay ""she wants to ashewants to cokay ft?s ashe wants to ~she wants to know how shetastes TWW"" by for you for "" h and sarah stopped coming By for you "" cheyl im home TWW"
capnyx_7235714607355120903.mp4,Suicide,DANGEROUS,empty stomach suddenly stand when / when up after smoking on an
24k.bil_7039088253491825925.mp4,Suicide,DANGEROUS,MALEFANTASY TOFKSFORRYDN TOFKSFORIRDN TOFKSFORRDN
zeroxvent_7198802354131635502.mp4,Suicide,DANGEROUS,I'll put a shotgun to my fucking mouth and pull my brains out fucking- everyday<<< Living with this mindset everyday<k<
xxx_lil_mama23_7168879037803154731.mp4,Suicide,DANGEROUS,"I'm really sorry for what I did. We are still friends, aren't we? Im really sorry for what did We are still friends aren't we Ym really sorry for what did"
notzoehatepage_7299951437927189806.mp4,Suicide,DANGEROUS,"When you know you know When you know you know wantedto text mehe what i'm feeling andbe shouldbe able tosay thenever ending feminine heard"" versus ""ifhe deserve this"" nocontact is stupid i shouldn'ttexthimidon't shouldbeabletosay war of ""love is beautiful shouldnttexthimidon't the never ending feminine wouldideserve tohave mylovereciprocated so i wanted to text mehe"
ventediits1_7241981118713449755.mp4,Suicide,DANGEROUS,Money I love you Close my past feel when i see what i how howi feel when i see what i look like in apicture my looklike in a picturemy looklike in a picture my My how i feelwhen i see what i llook like in a picture my 'picture my friends take of me friends take ofme feelwhen i seewhat i feel whenisee what i look like ina feeluhenisee whati feel when isee whati look like in a picture my look like in a picture
.16.6.21_7056395159113633025.mp4,Suicide,DANGEROUS,"Think of me, think of crazy Think of me, think of crazy Well, that's nothing Tw Sh ""You have no idea how sad well that's not feel when you relapse"" well that's not fair"
d3rksunsh1ne_7278350283086810373.mp4,Suicide,DANGEROUS,Now my father died at seven and a half. I don't want to live in a hole anymore. staying up all night because i mentally can't me go to sleep.
onlyfortherock_7167180476325661957.mp4,Suicide,DANGEROUS,It took so long to realize I can see her last goodbye. Now all my days have turned to tears. Wish I could go back and change these years. CAMBIAR IRG Il ME TOMO TANTO TIEMPO IRG cx Y ALORA OJALA PUDIERA VOLVER ATRÉS TODOS MIS DIAS SE HAN AUN PUEDO ESCUCHAR Kor KE SU ULTIMO ADIOS Y AUN PUEDO ESCUCHAR DARME CUENTA Koi KORI CONVERTIDO EN LAGRIMAS KOR' 'OR(
krissyneverhere_7347888565914733866.mp4,Suicide,DANGEROUS,"All that work and what did it get me? Why did I do it? spent experience"" ""get the full high school your Graduate early from high whole life trying to When you spent your When you school just to decline it to"
lucyxmarch_6807125287009078533.mp4,Suicide,DANGEROUS,I'm wrong with this brush. It's not meant to do this. this out All Is good now good now get my Got brush How do even Got my hair stuck in a Co y hair stuck in a hair stuck in a Cot my hair stuck in a AIl Is good now
annarousee_7128142170862767406.mp4,Suicide,DANGEROUS,아 손이 meet 나 보고求 나는 애 but your depression has literally no personality. When someone?s trying to never have anything to say. and made you stupid and have have a conversation w you Nothing going on up there u feel have When someone's trying to made you stupid literally no personality. / have a conversation W you
destinyygrace__7198821675620699397.mp4,Suicide,DANGEROUS,"I'm telling you, oh, you don't need me Yeah, me face so they are fnitated) and woke up to these fus washed my i tooka TWO HOUR nap f tooka TWO HOUR nap face so fhey are irritated) i took a TWO H UR nap scratches ( jus washed my scratches (i jus washed my"
sofiagarzah_7230631749561175301.mp4,Suicide,DANGEROUS,"Si supieras lo que acabas de hacer culero, si supieras lo que acabas de hacer, si supieras lo que me acabas de hacer culero, no, no me acalzaré la puta vida si supieras lo acabas de ACABAS DEHCFR hacerl SI SUPIERAS LO QUE ME 6l SUPIERAS LO QUE ME ACABAS DEHACER hacer SUPIERAS LO QUE ME"
lil.peep.page_6948623828541017350.mp4,Suicide,DANGEROUS,"Do it. Hold the trigger. my brain: TW ! in the mirror: eating' my brain: ""stop eating me do it"" stop looking at my body what?"
