video,ai_score,priority,ai_category,ai_reason,label
zeroxvent_7198802354131635502.mp4,100,🔴 CRITIQUE,Harmful,Explicit suicidal ideation and graphic violence.,DANGEROUS
thuantrendy_7085704540627930394.mp4,80,🔴 CRITIQUE,Harmful,Threats of physical harm and emotional distress.,DANGEROUS
alex.artfire_6797429873221668101.mp4,80,🔴 CRITIQUE,Harmful,"Reference to fire spreading in room, difficulty breathing.",DANGEROUS
colin.louk.zero_7371202066649320734.mp4,80,🔴 CRITIQUE,Harmful,Physical violence and aggression training.,DANGEROUS
user4638751123694_6988506099829853442.mp4,80,🔴 CRITIQUE,Harmful,Promotes superficiality and body shaming.,DANGEROUS
sofiagarzah_7230631749561175301.mp4,80,🔴 CRITIQUE,Harmful,Threats of self-harm and emotional distress.,DANGEROUS
d3rksunsh1ne_7278350283086810373.mp4,80,🔴 CRITIQUE,Harmful,Expresses feelings of hopelessness and despair.,DANGEROUS
012.08.031_7055498172436696366.mp4,80,🔴 CRITIQUE,Harmful,Expresses feelings of loneliness and isolation.,DANGEROUS
falann__7048294595930656001.mp4,80,🔴 CRITIQUE,Harmful,Reference to death and emotional distress.,DANGEROUS
vungtau.72_7098219452864400667.mp4,80,🔴 CRITIQUE,Harmful,Expressions of impending death and distress.,SAFE
mattpianoman_7243778877477162245.mp4,80,🔴 CRITIQUE,Harmful,Threat of self-harm and death.,SAFE
lil.peep.page_6948623828541017350.mp4,80,🔴 CRITIQUE,Harmful,Self-harm and eating disorder references.,DANGEROUS
sincerelyletters_7222707608799497514.mp4,80,🔴 CRITIQUE,Harmful,Expresses feelings of depression and low motivation.,DANGEROUS
ferchismejia_7172699039991876869.mp4,80,🔴 CRITIQUE,Harmful,Expressions of hopelessness and loss of control.,DANGEROUS
imfine4567_7130203739553647873.mp4,80,🔴 CRITIQUE,Harmful,Expresses distress and feeling overwhelmed.,DANGEROUS
justwhitney_7291495941289348382.mp4,80,🔴 CRITIQUE,Harmful,Threat of self-harm and emotional distress.,DANGEROUS
chaukhadi2107_7179543521160924443.mp4,80,🔴 CRITIQUE,Harmful,Reference to self-harm and violence.,SAFE
whhatever__7339705749704051974.mp4,80,🔴 CRITIQUE,Harmful,Expressions of self-hatred and suicidal thoughts.,DANGEROUS
swanlover123_7346620521045413152.mp4,80,🔴 CRITIQUE,Harmful,Threat of physical harm and emotional distress.,DANGEROUS
anhme099_7215475932763622683.mp4,80,🔴 CRITIQUE,Harmful,Threat of violence and trespassing.,SAFE
jherald.artz_7220004107141074182.mp4,60,🟠 ELEVÉ,Harmful,Expressions of anxiety and emotional distress.,DANGEROUS
belva.faristha_7134242533592550682.mp4,60,🟠 ELEVÉ,Harmful,Mentions of feeling embarrassed and anxious.,DANGEROUS
alwuhu_6897775621133356293.mp4,60,🟠 ELEVÉ,Harmful,Reference to potentially spicy food challenge.,DANGEROUS
annarousee_7128142170862767406.mp4,60,🟠 ELEVÉ,Harmful,Depressive language and insult towards personality.,DANGEROUS
vent_.as_7206788519887375622.mp4,60,🟠 ELEVÉ,Harmful,Threats of physical and emotional harm.,DANGEROUS
.gu1ltyy_7349197829971250438.mp4,60,🟠 ELEVÉ,Harmful,Threat of property damage and potential violence.,DANGEROUS
keyrinne_7271944619204627717.mp4,60,🟠 ELEVÉ,Harmful,Insecure language and bullying comments.,DANGEROUS
onlyfortherock_7167180476325661957.mp4,60,🟠 ELEVÉ,Harmful,Expressions of sadness and regret.,DANGEROUS
.16.6.21_7056395159113633025.mp4,60,🟠 ELEVÉ,Harmful,Reference to relapse and sadness.,DANGEROUS
capnyx_7235714607355120903.mp4,60,🟠 ELEVÉ,Harmful,Reference to smoking and potential health issues.,DANGEROUS
hamuvevoi_7261949013962837255.mp4,60,🟠 ELEVÉ,Harmful,Self-harm and suicidal ideation mentioned.,SAFE
yourfavbatty_7297953195609967904.mp4,60,🟠 ELEVÉ,Harmful,Mentions feeling lonely and empty.,DANGEROUS
anden75_7360290534541233424.mp4,60,🟠 ELEVÉ,Harmful,"Reference to eating spicy food, potential choking hazard.",SAFE
slinahuynh_7353642737868000529.mp4,60,🟠 ELEVÉ,Harmful,Encourages reckless behavior and self-doubt.,SAFE
bombom_vlog_7369567963478805768.mp4,60,🟠 ELEVÉ,Harmful,Reference to animal cruelty and danger.,SAFE
echtajfo6yd_7232170066530422021.mp4,60,🟠 ELEVÉ,Harmful,Reference to self-harm with belt.,SAFE
mattpianoman_7258280125471509766.mp4,60,🟠 ELEVÉ,Harmful,Self-harm language and emotional distress.,SAFE
loanhquanhmotminh_7238497752013901058.mp4,60,🟠 ELEVÉ,Harmful,Threats of self-harm and cutting.,SAFE
dongam_den.vauvn_7232565070809648390.mp4,60,🟠 ELEVÉ,Harmful,Depressive language and emotional distress.,SAFE
quyensachnho_7370309303414164744.mp4,60,🟠 ELEVÉ,Harmful,Reference to self-harm and reckless behavior.,SAFE
